Process, Parameter, Value
QUERY-EXEC | loop-7 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:57.164
QUERY-EXEC | loop-7 | q17-q12c, START, 2024-01-28 03:47:26.856603+00
QUERY-EXEC | loop-7 | q17-q12c, END, 2024-01-28 03:48:12.360930+00
QUERY-EXEC | loop-7 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.504
QUERY-SKIP | loop-7 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-7 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-8 | a1-q1, START, 2024-01-28 03:48:16.180179+00
QUERY-EXEC | loop-8 | a1-q1, END, 2024-01-28 03:52:27.018393+00
QUERY-EXEC | loop-8 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:10.838
QUERY-EXEC | loop-8 | c3-q3a, START, 2024-01-28 03:52:30.026263+00
QUERY-EXEC | loop-8 | c3-q3a, END, 2024-01-28 04:00:57.112452+00
QUERY-EXEC | loop-8 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:27.86
QUERY-EXEC | loop-8 | d4-q3b, START, 2024-01-28 04:01:00.120458+00
QUERY-EXEC | loop-8 | d4-q3b, END, 2024-01-28 04:08:40.333867+00
QUERY-EXEC | loop-8 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:40.213
QUERY-EXEC | loop-8 | e5-q3c, START, 2024-01-28 04:08:43.341771+00
QUERY-EXEC | loop-8 | e5-q3c, END, 2024-01-28 04:16:24.670174+00
QUERY-EXEC | loop-8 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.328
QUERY-EXEC | loop-8 | h8-q5b, START, 2024-01-28 04:16:27.678142+00
QUERY-EXEC | loop-8 | h8-q5b, END, 2024-01-28 04:31:30.669032+00
QUERY-EXEC | loop-8 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:2.990
QUERY-EXEC | loop-8 | k11-q8, START, 2024-01-28 04:31:33.677251+00
QUERY-EXEC | loop-8 | k11-q8, END, 2024-01-28 04:46:36.358139+00
QUERY-EXEC | loop-8 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:2.680
QUERY-EXEC | loop-8 | m13-q10, START, 2024-01-28 04:46:39.366016+00
QUERY-EXEC | loop-8 | m13-q10, END, 2024-01-28 04:52:46.910571+00
QUERY-EXEC | loop-8 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:7.544
QUERY-EXEC | loop-8 | n14-q11, START, 2024-01-28 04:52:49.918647+00
QUERY-EXEC | loop-8 | n14-q11, END, 2024-01-28 04:54:03.721959+00
QUERY-EXEC | loop-8 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:13.803
QUERY-EXEC | loop-8 | o15-q12a, START, 2024-01-28 04:54:06.729829+00
QUERY-EXEC | loop-8 | o15-q12a, END, 2024-01-28 05:18:54.522030+00
QUERY-EXEC | loop-8 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:24:47.792
QUERY-EXEC | loop-8 | p16-q12b, START, 2024-01-28 05:18:57.529914+00
QUERY-EXEC | loop-8 | p16-q12b, END, 2024-01-28 05:36:43.039713+00
QUERY-EXEC | loop-8 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:45.509
QUERY-EXEC | loop-8 | q17-q12c, START, 2024-01-28 05:36:46.047676+00
QUERY-EXEC | loop-8 | q17-q12c, END, 2024-01-28 05:37:31.554710+00
QUERY-EXEC | loop-8 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.507
QUERY-SKIP | loop-8 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-9 | a1-q1, START, 2024-01-28 05:37:35.395168+00
QUERY-EXEC | loop-9 | a1-q1, END, 2024-01-28 05:41:51.818070+00
QUERY-EXEC | loop-9 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:16.422
QUERY-EXEC | loop-9 | c3-q3a, START, 2024-01-28 05:41:54.825981+00
QUERY-EXEC | loop-9 | c3-q3a, END, 2024-01-28 05:50:20.945968+00
QUERY-EXEC | loop-9 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:26.119
QUERY-EXEC | loop-9 | d4-q3b, START, 2024-01-28 05:50:23.954325+00
QUERY-EXEC | loop-9 | d4-q3b, END, 2024-01-28 05:58:03.962020+00
QUERY-EXEC | loop-9 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:40.7
QUERY-EXEC | loop-9 | e5-q3c, START, 2024-01-28 05:58:06.970143+00
QUERY-EXEC | loop-9 | e5-q3c, END, 2024-01-28 06:05:47.899676+00
QUERY-EXEC | loop-9 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:40.929
QUERY-EXEC | loop-9 | h8-q5b, START, 2024-01-28 06:05:50.907670+00
QUERY-EXEC | loop-9 | h8-q5b, END, 2024-01-28 06:21:13.741062+00
QUERY-EXEC | loop-9 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:22.833
QUERY-EXEC | loop-9 | k11-q8, START, 2024-01-28 06:21:16.749175+00
QUERY-EXEC | loop-9 | k11-q8, END, 2024-01-28 06:36:43.920516+00
QUERY-EXEC | loop-9 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:27.171
QUERY-EXEC | loop-9 | m13-q10, START, 2024-01-28 06:36:46.928479+00
QUERY-EXEC | loop-9 | m13-q10, END, 2024-01-28 06:44:07.177471+00
QUERY-EXEC | loop-9 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:7:20.248
QUERY-EXEC | loop-9 | n14-q11, START, 2024-01-28 06:44:10.185498+00
QUERY-EXEC | loop-9 | n14-q11, END, 2024-01-28 06:45:24.873139+00
QUERY-EXEC | loop-9 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:14.687
QUERY-EXEC | loop-9 | o15-q12a, START, 2024-01-28 06:45:27.881172+00
QUERY-EXEC | loop-9 | o15-q12a, END, 2024-01-28 07:09:23.407907+00
QUERY-EXEC | loop-9 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:23:55.526
QUERY-EXEC | loop-9 | p16-q12b, START, 2024-01-28 07:09:26.415967+00
QUERY-EXEC | loop-9 | p16-q12b, END, 2024-01-28 07:27:10.253701+00
QUERY-EXEC | loop-9 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:43.837
QUERY-EXEC | loop-9 | q17-q12c, START, 2024-01-28 07:27:13.261795+00
QUERY-EXEC | loop-9 | q17-q12c, END, 2024-01-28 07:27:58.777533+00
QUERY-EXEC | loop-9 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.515
QUERY-SKIP | loop-9 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | j10-q7, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-10 | a1-q1, START, 2024-01-28 07:28:02.580210+00
QUERY-EXEC | loop-10 | a1-q1, END, 2024-01-28 07:32:18.922882+00
QUERY-EXEC | loop-10 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:16.342
QUERY-EXEC | loop-10 | c3-q3a, START, 2024-01-28 07:32:21.930717+00
QUERY-EXEC | loop-10 | c3-q3a, END, 2024-01-28 07:40:49.395700+00
QUERY-EXEC | loop-10 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:27.464
QUERY-EXEC | loop-10 | d4-q3b, START, 2024-01-28 07:40:52.403678+00
QUERY-EXEC | loop-10 | d4-q3b, END, 2024-01-28 07:48:32.653948+00
QUERY-EXEC | loop-10 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:40.250
QUERY-EXEC | loop-10 | e5-q3c, START, 2024-01-28 07:48:35.662047+00
QUERY-EXEC | loop-10 | e5-q3c, END, 2024-01-28 07:56:15.502359+00
QUERY-EXEC | loop-10 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:39.840
QUERY-EXEC | loop-10 | h8-q5b, START, 2024-01-28 07:56:18.510300+00
QUERY-EXEC | loop-10 | h8-q5b, END, 2024-01-28 08:11:43.167279+00
QUERY-EXEC | loop-10 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:15:24.656
QUERY-EXEC | loop-10 | k11-q8, START, 2024-01-28 08:11:46.175572+00
QUERY-EXEC | loop-10 | k11-q8, END, 2024-01-28 08:26:53.752906+00
QUERY-EXEC | loop-10 | k11-q8, EXECTIME, d:h:m:s.ms | 0:0:15:7.577
QUERY-EXEC | loop-10 | m13-q10, START, 2024-01-28 08:26:56.760760+00
QUERY-EXEC | loop-10 | m13-q10, END, 2024-01-28 08:33:07.309375+00
QUERY-EXEC | loop-10 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:6:10.548
QUERY-EXEC | loop-10 | n14-q11, START, 2024-01-28 08:33:10.317414+00
QUERY-EXEC | loop-10 | n14-q11, END, 2024-01-28 08:34:24.859166+00
QUERY-EXEC | loop-10 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:14.541
QUERY-EXEC | loop-10 | o15-q12a, START, 2024-01-28 08:34:27.867272+00
QUERY-EXEC | loop-10 | o15-q12a, END, 2024-01-28 08:58:23.988271+00
QUERY-EXEC | loop-10 | o15-q12a, EXECTIME, d:h:m:s.ms | 0:0:23:56.120
QUERY-EXEC | loop-10 | p16-q12b, START, 2024-01-28 08:58:26.996256+00
QUERY-EXEC | loop-10 | p16-q12b, END, 2024-01-28 09:15:34.568562+00
QUERY-EXEC | loop-10 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:17:7.572
QUERY-EXEC | loop-10 | q17-q12c, START, 2024-01-28 09:15:37.576651+00
QUERY-EXEC | loop-10 | q17-q12c, END, 2024-01-28 09:16:23.120088+00
QUERY-EXEC | loop-10 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:45.543
QUERY-SKIP | loop-10 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | j10-q7, PENALTY, 3600000.000 ms
RUNQUERIES, END, 2024-01-28 09:16:24.052974+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:20:44:48.646
CALCPERFORMANCE, START, 2024-01-28 09:16:24.061111+00
CALCPERFORMANCE, END, 2024-01-28 09:16:24.160049+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.98
MEASUREMENT, END, 2024-01-28 09:16:24.167820+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:22:4:27.864
