Process, Parameter, Value
QUERY-EXEC | loop-8 | m13-q10, START, 2024-01-27 08:59:42.974081+00
QUERY-EXEC | loop-8 | m13-q10, END, 2024-01-27 09:04:52.398606+00
QUERY-EXEC | loop-8 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:9.424
QUERY-EXEC | loop-8 | n14-q11, START, 2024-01-27 09:04:55.406336+00
QUERY-EXEC | loop-8 | n14-q11, END, 2024-01-27 09:05:57.464781+00
QUERY-EXEC | loop-8 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:2.58
QUERY-EXEC | loop-8 | p16-q12b, START, 2024-01-27 09:06:00.472740+00
QUERY-EXEC | loop-8 | p16-q12b, END, 2024-01-27 09:25:11.339839+00
QUERY-EXEC | loop-8 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:19:10.867
QUERY-EXEC | loop-8 | q17-q12c, START, 2024-01-27 09:25:14.347595+00
QUERY-EXEC | loop-8 | q17-q12c, END, 2024-01-27 09:26:07.151515+00
QUERY-EXEC | loop-8 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.803
QUERY-SKIP | loop-8 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-8 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-9 | a1-q1, START, 2024-01-27 09:26:10.644283+00
QUERY-EXEC | loop-9 | a1-q1, END, 2024-01-27 09:30:25.337430+00
QUERY-EXEC | loop-9 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:14.693
QUERY-EXEC | loop-9 | c3-q3a, START, 2024-01-27 09:30:28.345341+00
QUERY-EXEC | loop-9 | c3-q3a, END, 2024-01-27 09:38:54.154128+00
QUERY-EXEC | loop-9 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:25.808
QUERY-EXEC | loop-9 | d4-q3b, START, 2024-01-27 09:38:57.162190+00
QUERY-EXEC | loop-9 | d4-q3b, END, 2024-01-27 09:46:39.498842+00
QUERY-EXEC | loop-9 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.336
QUERY-EXEC | loop-9 | e5-q3c, START, 2024-01-27 09:46:42.506559+00
QUERY-EXEC | loop-9 | e5-q3c, END, 2024-01-27 09:54:25.481515+00
QUERY-EXEC | loop-9 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:42.974
QUERY-EXEC | loop-9 | h8-q5b, START, 2024-01-27 09:54:28.489289+00
QUERY-EXEC | loop-9 | h8-q5b, END, 2024-01-27 10:14:51.160587+00
QUERY-EXEC | loop-9 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:22.671
QUERY-EXEC | loop-9 | m13-q10, START, 2024-01-27 10:14:54.168347+00
QUERY-EXEC | loop-9 | m13-q10, END, 2024-01-27 10:20:15.207797+00
QUERY-EXEC | loop-9 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:21.39
QUERY-EXEC | loop-9 | n14-q11, START, 2024-01-27 10:20:18.215673+00
QUERY-EXEC | loop-9 | n14-q11, END, 2024-01-27 10:21:20.751540+00
QUERY-EXEC | loop-9 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:2.535
QUERY-EXEC | loop-9 | p16-q12b, START, 2024-01-27 10:21:23.759265+00
QUERY-EXEC | loop-9 | p16-q12b, END, 2024-01-27 10:40:12.083391+00
QUERY-EXEC | loop-9 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:48.324
QUERY-EXEC | loop-9 | q17-q12c, START, 2024-01-27 10:40:15.091386+00
QUERY-EXEC | loop-9 | q17-q12c, END, 2024-01-27 10:41:07.878956+00
QUERY-EXEC | loop-9 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.787
QUERY-SKIP | loop-9 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-9 | k11-q8, PENALTY, 3600000.000 ms
QUERY-EXEC | loop-10 | a1-q1, START, 2024-01-27 10:41:11.372788+00
QUERY-EXEC | loop-10 | a1-q1, END, 2024-01-27 10:45:17.062419+00
QUERY-EXEC | loop-10 | a1-q1, EXECTIME, d:h:m:s.ms | 0:0:4:5.689
QUERY-EXEC | loop-10 | c3-q3a, START, 2024-01-27 10:45:20.070130+00
QUERY-EXEC | loop-10 | c3-q3a, END, 2024-01-27 10:53:48.994930+00
QUERY-EXEC | loop-10 | c3-q3a, EXECTIME, d:h:m:s.ms | 0:0:8:28.924
QUERY-EXEC | loop-10 | d4-q3b, START, 2024-01-27 10:53:52.002770+00
QUERY-EXEC | loop-10 | d4-q3b, END, 2024-01-27 11:01:34.108486+00
QUERY-EXEC | loop-10 | d4-q3b, EXECTIME, d:h:m:s.ms | 0:0:7:42.105
QUERY-EXEC | loop-10 | e5-q3c, START, 2024-01-27 11:01:37.116205+00
QUERY-EXEC | loop-10 | e5-q3c, END, 2024-01-27 11:09:19.050447+00
QUERY-EXEC | loop-10 | e5-q3c, EXECTIME, d:h:m:s.ms | 0:0:7:41.934
QUERY-EXEC | loop-10 | h8-q5b, START, 2024-01-27 11:09:22.058220+00
QUERY-EXEC | loop-10 | h8-q5b, END, 2024-01-27 11:29:44.383457+00
QUERY-EXEC | loop-10 | h8-q5b, EXECTIME, d:h:m:s.ms | 0:0:20:22.325
QUERY-EXEC | loop-10 | m13-q10, START, 2024-01-27 11:29:47.391597+00
QUERY-EXEC | loop-10 | m13-q10, END, 2024-01-27 11:34:55.601435+00
QUERY-EXEC | loop-10 | m13-q10, EXECTIME, d:h:m:s.ms | 0:0:5:8.209
QUERY-EXEC | loop-10 | n14-q11, START, 2024-01-27 11:34:58.609416+00
QUERY-EXEC | loop-10 | n14-q11, END, 2024-01-27 11:36:01.499357+00
QUERY-EXEC | loop-10 | n14-q11, EXECTIME, d:h:m:s.ms | 0:0:1:2.889
QUERY-EXEC | loop-10 | p16-q12b, START, 2024-01-27 11:36:04.507172+00
QUERY-EXEC | loop-10 | p16-q12b, END, 2024-01-27 11:54:19.577314+00
QUERY-EXEC | loop-10 | p16-q12b, EXECTIME, d:h:m:s.ms | 0:0:18:15.70
QUERY-EXEC | loop-10 | q17-q12c, START, 2024-01-27 11:54:22.585088+00
QUERY-EXEC | loop-10 | q17-q12c, END, 2024-01-27 11:55:15.534043+00
QUERY-EXEC | loop-10 | q17-q12c, EXECTIME, d:h:m:s.ms | 0:0:0:52.948
QUERY-SKIP | loop-10 | b2-q2, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | i9-q6, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | o15-q12a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | l12-q9, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | g7-q5a, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | f6-q4, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | j10-q7, PENALTY, 3600000.000 ms
QUERY-SKIP | loop-10 | k11-q8, PENALTY, 3600000.000 ms
RUNQUERIES, END, 2024-01-27 11:55:16.026278+00
RUNQUERIES, EXECTIME, d:h:m:s.ms | 0:16:3:49.418
CALCPERFORMANCE, START, 2024-01-27 11:55:16.034391+00
CALCPERFORMANCE, END, 2024-01-27 11:55:16.114958+00
CALCPERFORMANCE, EXECTIME, d:h:m:s.ms | 0:0:0:0.80
MEASUREMENT, END, 2024-01-27 11:55:16.122396+00
MEASUREMENT, EXECTIME, d:h:m:s.ms | 0:17:27:50.113
